route_top_k,feedback_docs,component,n_queries,mean_ms_per_query,p95_ms_per_query,std_ms_per_query,percent_of_base_routing,incremental_overhead_over_base_percent
1,1,base_routing,500,0.1397296,0.16493999999999995,0.015051596092436831,100.0,0.0
1,1,score_reweighting,500,0.0349668,0.0401,0.0033986231091540807,25.024618978369652,25.024618978369652
1,1,relevance_consistency_scoring,500,0.026432,0.03660999999999999,0.004901201848436589,18.916535937983074,18.916535937983074
1,1,agreement_scoring,500,0.0169744,0.02570999999999999,0.0040111248903233546,12.148034489471092,12.148034489471092
1,1,trust_update,500,0.0352092,0.04610999999999999,0.012818404672841056,25.198096895718585,25.198096895718585
1,1,full_tasr_overhead,500,0.1135824,0.1468199999999999,0.01787948999734417,81.28728630154241,81.28728630154241
1,1,full_tasr_total,500,0.25331200000000004,0.3138199999999999,0.029488856222013173,181.28728630154242,81.28728630154241
1,5,base_routing,500,0.1414728,0.21836499999999995,0.04205578150118424,100.0,0.0
1,5,score_reweighting,500,0.036867000000000004,0.053724999999999974,0.045026344670968554,26.059426264271295,26.059426264271295
1,5,relevance_consistency_scoring,500,0.028132800000000003,0.052,0.012289305033092507,19.885659999660714,19.885659999660714
1,5,agreement_scoring,500,0.017442999999999997,0.03450999999999999,0.00804701683606539,12.329578547961159,12.329578547961159
1,5,trust_update,500,0.0346142,0.05881999999999998,0.015117921863899347,24.467035359447184,24.467035359447184
1,5,full_tasr_overhead,500,0.11705700000000001,0.20002999999999999,0.06433255946575443,82.74170017134036,82.74170017134036
1,5,full_tasr_total,500,0.25852980000000003,0.42406499999999986,0.09036559773757344,182.74170017134037,82.74170017134036
1,10,base_routing,500,0.13648339999999998,0.16220999999999988,0.018307574361394685,99.99999999999997,0.0
1,10,score_reweighting,500,0.0340906,0.0396,0.005612387140855278,24.977836132452737,24.977836132452737
1,10,relevance_consistency_scoring,500,0.0277028,0.04013999999999996,0.006667979909398669,20.297559996307243,20.297559996307243
1,10,agreement_scoring,500,0.0163598,0.02473499999999997,0.004611700285040006,11.98665918346114,11.98665918346114
1,10,trust_update,500,0.0340402,0.045305,0.013911357075114658,24.94090856470457,24.94090856470457
1,10,full_tasr_overhead,500,0.1121934,0.15552,0.02702951434509068,82.20296387692568,82.20296387692568
1,10,full_tasr_total,500,0.2486768,0.32212499999999966,0.04199787595736074,182.2029638769257,82.20296387692568
3,1,base_routing,500,0.14841220000000002,0.22927499999999992,0.0365060978676583,100.00000000000003,0.0
3,1,score_reweighting,500,0.0436496,0.067905,0.010347289143792711,29.411059198637307,29.411059198637307
3,1,relevance_consistency_scoring,500,0.07588980000000001,0.1213149999999999,0.019433342109144842,51.13447546765024,51.13447546765024
3,1,agreement_scoring,500,0.045252,0.07881499999999998,0.03795508810985496,30.49075480317656,30.49075480317656
3,1,trust_update,500,0.041577800000000005,0.072305,0.019729936338870224,28.015082318030466,28.015082318030466
3,1,full_tasr_overhead,500,0.20636919999999997,0.34052999999999994,0.07308999593906641,139.05137178749453,139.05137178749453
3,1,full_tasr_total,500,0.35478139999999997,0.570395,0.10315857723988012,239.05137178749456,139.05137178749456
3,5,base_routing,500,0.135685,0.14570999999999998,0.008995799231175362,100.0,0.0
3,5,score_reweighting,500,0.0400164,0.043304999999999996,0.002113533792060198,29.492132512805398,29.492132512805398
3,5,relevance_consistency_scoring,500,0.0716568,0.07970499999999998,0.005367874991451244,52.81114345727236,52.81114345727236
3,5,agreement_scoring,500,0.0388414,0.046005,0.00434692737404139,28.62615617054206,28.62615617054206
3,5,trust_update,500,0.03736,0.045305,0.013491180225902238,27.53436267826215,27.53436267826215
3,5,full_tasr_overhead,500,0.18787459999999997,0.20834499999999997,0.018066476412957784,138.46379481888195,138.46379481888195
3,5,full_tasr_total,500,0.32355960000000006,0.35621499999999995,0.02347561750144495,238.463794818882,138.46379481888198
3,10,base_routing,500,0.1357466,0.1455,0.0070497095862525425,100.0,0.0
3,10,score_reweighting,500,0.040199200000000004,0.04430999999999999,0.0029889374121428863,29.613412048625896,29.613412048625896
3,10,relevance_consistency_scoring,500,0.07544419999999999,0.0842,0.006031715306534133,55.57722992693739,55.57722992693739
3,10,agreement_scoring,500,0.040583799999999996,0.048005,0.0054928517548539025,29.896734061847585,29.896734061847585
3,10,trust_update,500,0.0372966,0.0446,0.013094850845937677,27.475163282174286,27.475163282174286
3,10,full_tasr_overhead,500,0.1935238,0.222005,0.018745427059185995,142.56253931958517,142.56253931958517
3,10,full_tasr_total,500,0.3292704,0.3681499999999999,0.02209727455877425,242.5625393195852,142.56253931958517
5,1,base_routing,500,0.13185339999999998,0.14451999999999998,0.009994303409506966,99.99999999999997,0.0
5,1,score_reweighting,500,0.03998759999999999,0.044805,0.0036039010037582577,30.327318066883365,30.327318066883365
5,1,relevance_consistency_scoring,500,0.1092324,0.12161999999999998,0.012724058848778337,82.84382503598692,82.84382503598692
5,1,agreement_scoring,500,0.04997240000000001,0.059305,0.007703539919711533,37.899970725062836,37.899970725062836
5,1,trust_update,500,0.0387478,0.048205,0.014243982492072536,29.38703135451949,29.38703135451949
5,1,full_tasr_overhead,500,0.2379402,0.27478499999999995,0.02775656494877403,180.45814518245263,180.45814518245263
5,1,full_tasr_total,500,0.3697936,0.42039999999999994,0.033953830479763206,280.4581451824526,180.45814518245263
5,5,base_routing,500,0.13022640000000002,0.142105,0.015458117927474853,100.00000000000003,0.0
5,5,score_reweighting,500,0.039214799999999994,0.04301999999999998,0.004056235576751949,30.112788190413003,30.112788190413003
5,5,relevance_consistency_scoring,500,0.11084880000000001,0.11971,0.010029170807907719,85.1200678203498,85.1200678203498
5,5,agreement_scoring,500,0.049666600000000005,0.055904999999999996,0.006861146778070008,38.138656985066014,38.138656985066014
5,5,trust_update,500,0.038421,0.0486,0.01499597471040246,29.50323436722508,29.50323436722508
5,5,full_tasr_overhead,500,0.2381512,0.25808999999999993,0.02937467278733034,182.8747473630539,182.8747473630539
5,5,full_tasr_total,500,0.3683776,0.40011,0.039425202998881394,282.8747473630539,182.8747473630539
5,10,base_routing,500,0.12854000000000002,0.1402,0.008246145635123802,100.00000000000003,0.0
5,10,score_reweighting,500,0.03855460000000001,0.04220999999999999,0.00270670488651522,29.99424303718688,29.99424303718688
5,10,relevance_consistency_scoring,500,0.116507,0.12853499999999998,0.009236321251478916,90.63871168507859,90.63871168507859
5,10,agreement_scoring,500,0.0512794,0.058205,0.005486835734077109,39.89372957834138,39.89372957834138
5,10,trust_update,500,0.0376764,0.04591499999999999,0.012518030404597235,29.311031585498682,29.311031585498682
5,10,full_tasr_overhead,500,0.2440174,0.27001499999999995,0.0216921343954268,189.8377158861055,189.8377158861055
5,10,full_tasr_total,500,0.37255740000000004,0.40459999999999996,0.026140937674172474,289.8377158861055,189.8377158861055
