experiment,target_domain,num_malicious,mode,warmup_queries,cold_start_s0,window_idx,query_start,query_end,n,window_hr@1_mean,window_hr@1_std,window_hr@3_mean,window_hr@3_std,window_acc@1_mean,window_acc@1_std,window_acc@3_mean,window_acc@3_std,window_malicious_rank_mean,window_malicious_rank_std,cumulative_hr@1_mean,cumulative_hr@1_std,cumulative_hr@3_mean,cumulative_hr@3_std,cumulative_acc@1_mean,cumulative_acc@1_std,cumulative_acc@3_mean,cumulative_acc@3_std,cumulative_malicious_rank_mean,cumulative_malicious_rank_std,mal_effective_trust_mean,mal_effective_trust_std,target_effective_trust_mean,target_effective_trust_std,mal_reputation_mean,mal_reputation_std,target_reputation_mean,target_reputation_std
ragroute_online,gaming,1,Full TASR,50,0.7,1,1,50,5,0.012,0.010954451150103323,0.936,0.03286335345030994,0.916,0.008944271909999166,0.972,0.010954451150103333,2.312,0.12930583900195694,0.012,0.010954451150103323,0.936,0.03286335345030994,0.916,0.008944271909999166,0.972,0.010954451150103333,2.312,0.12930583900195694,0.936883935533431,0.00342611192473726,0.9406224565302179,0.001087605314304822,1.0,0.0,1.0,0.0
ragroute_online,gaming,1,Full TASR,50,0.7,2,51,100,5,0.0,0.0,0.628,0.030331501776206228,0.884,0.008944271909999166,0.924,0.008944271909999116,4.244,0.32168307384753725,0.006,0.005477225575051661,0.782,0.02280350850198278,0.9,0.0,0.948,0.008366600265340763,3.278,0.13046072205840337,0.0318331674849291,0.01238017387922003,0.9509441215710751,0.02327412232301005,0.09346020094679454,0.03208048261770437,1.0,0.0
ragroute_online,gaming,1,Full TASR,50,0.7,3,101,150,5,0.0,0.0,0.276,0.0606630035524124,0.848,0.03346640106136305,0.96,0.0,6.612,0.5852520824396953,0.004,0.003651483716701108,0.6133333333333334,0.030912061651652358,0.8826666666666667,0.01115546702045437,0.952,0.005577733510227167,4.389333333333333,0.27839220934182424,0.010465698261881961,0.003358210965468938,0.5706405632207003,0.018527327554152144,0.03398073195708516,0.0104284290140612,1.0,0.0
ragroute_online,gaming,1,Full TASR,50,0.7,4,151,200,5,0.0,0.0,0.17600000000000002,0.04979959839195492,0.952,0.038987177379235835,1.0,0.0,7.312,0.7304245340895936,0.003,0.0027386127875258306,0.504,0.0341686991265398,0.9,0.012247448713915901,0.964,0.004183300132670382,5.12,0.38555155297314003,0.005342542027315969,0.0018747350874560758,0.4785804946407804,0.008879386658731434,0.01743014427899481,0.005913797876304882,0.9550872000000001,0.0
ragroute_online,gaming,1,Full TASR,50,0.7,5,201,250,5,0.0,0.0,0.152,0.054037024344425186,0.896,0.026076809620810618,0.98,0.0,8.104,0.5479781017522507,0.0024000000000000002,0.0021908902300206644,0.4336,0.038010524858254714,0.8992,0.008671793355471528,0.9672,0.003346640106136305,5.7168,0.41687791977987976,0.0033634165229531497,0.0005792464466137131,0.35653731664488886,0.01180398183147538,0.011031697647338192,0.0018561926850872341,1.0,0.0
ragroute_online,gaming,1,Full TASR,50,0.7,6,251,300,5,0.0,0.0,0.212,0.01788854381999831,0.804,0.026076809620810562,0.976,0.008944271909999166,7.608,0.16161683080669528,0.002,0.001825741858350554,0.39666666666666667,0.03456073558887955,0.8833333333333333,0.007071067811865481,0.9686666666666667,0.0038005847503304554,6.032,0.35143831448618235,0.003042491011110898,2.3950629875276946e-05,0.3361142657085053,0.017795351873745466,0.01,0.0,1.0,0.0
ragroute_online,gaming,1,Full TASR,50,0.7,7,301,350,5,0.0,0.0,0.208,0.01788854381999832,0.824,0.021908902300206635,0.976,0.016733200530681527,8.028,0.35031414473298134,0.0017142857142857142,0.0015649215928719032,0.3697142857142857,0.029457683242930303,0.8748571428571429,0.008427360687858624,0.9697142857142856,0.0025555062599997903,6.317142857142857,0.2856357034791709,0.00305697694531329,6.36121319233941e-06,0.2987191004396357,0.007182601787777797,0.01,0.0,0.9550872000000001,0.0
ragroute_online,gaming,1,Full TASR,50,0.7,8,351,400,5,0.0,0.0,0.132,0.010954451150103333,0.7959999999999999,0.051768716422179124,0.956,0.016733200530681527,9.12,0.21587033144922904,0.0015,0.0013693063937629153,0.34,0.024431025357115072,0.865,0.010606601717798184,0.968,0.003259601202601344,6.6675,0.23996093432056834,0.0030858457827722483,3.353057281917654e-05,0.30899736676672007,0.0027353117931384285,0.01008,0.00010954451150103351,1.0,0.0
ragroute_online,gaming,1,Full TASR,50,0.7,9,401,450,5,0.0,0.0,0.24,0.024494897427831792,0.924,0.008944271909999116,0.992,0.010954451150103333,7.108,0.17123083834403177,0.0013333333333333333,0.0012171612389003691,0.3288888888888889,0.023200681130912327,0.8715555555555555,0.009216196157034551,0.9706666666666667,0.002434322477800754,6.716444444444445,0.22490930956913305,0.003062607939789504,9.759791911853127e-07,0.29548044248280386,0.007012501543142348,0.01,0.0,1.0,0.0
ragroute_online,gaming,1,Full TASR,50,0.7,10,451,500,5,0.0,0.0,0.264,0.026076809620810597,0.924,0.021908902300206617,1.0,0.0,6.176,0.09316651759081686,0.0012000000000000001,0.0010954451150103322,0.3224,0.0227771815640127,0.8768,0.00742967024840269,0.9736,0.002190890230020666,6.6624,0.20015194228385602,0.003058769877998411,1.6076033226913093e-05,0.3067523627464303,0.0024413659783129107,0.01,0.0,1.0,0.0
ragroute_online,gaming,1,No Defense,50,0.7,1,1,50,5,0.016,0.00894427190999916,0.928,0.03033150177620617,0.828,0.010954451150103333,0.972,0.010954451150103333,2.432,0.11966620241321284,0.016,0.00894427190999916,0.928,0.03033150177620617,0.828,0.010954451150103333,0.972,0.010954451150103333,2.432,0.11966620241321284,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
ragroute_online,gaming,1,No Defense,50,0.7,2,51,100,5,0.028,0.010954451150103323,0.896,0.04979959839195493,0.848,0.010954451150103333,0.876,0.021908902300206666,2.564,0.12680693987317898,0.022,0.008366600265340755,0.912,0.029495762407505278,0.838,0.010954451150103333,0.924,0.011401754250991351,2.498,0.11777096416349829,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
ragroute_online,gaming,1,No Defense,50,0.7,3,101,150,5,0.032,0.026832815729997475,0.856,0.05727128425310542,0.848,0.0268328157299975,0.912,0.010954451150103333,2.52,0.14899664425751333,0.025333333333333333,0.014452988925785866,0.8933333333333333,0.0380058475033046,0.8413333333333334,0.015202339001321851,0.92,0.009428090415820656,2.505333333333333,0.11985176028930257,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
ragroute_online,gaming,1,No Defense,50,0.7,4,151,200,5,0.004,0.00894427190999916,0.936,0.021908902300206604,0.876,0.008944271909999166,1.0,0.0,2.312,0.09444575162494065,0.02,0.009354143466934852,0.904,0.030290262461721947,0.85,0.010000000000000009,0.94,0.007071067811865442,2.457,0.11071359446788821,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
ragroute_online,gaming,1,No Defense,50,0.7,5,201,250,5,0.012,0.010954451150103323,0.848,0.05761944116355174,0.82,0.0,0.9319999999999999,0.01095445115010327,2.5,0.23151673805580458,0.0184,0.008763560920082658,0.8928,0.03480229877464996,0.844,0.008000000000000007,0.9384,0.006066300355241194,2.4656,0.13192725268116526,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
ragroute_online,gaming,1,No Defense,50,0.7,6,251,300,5,0.02,0.02449489742783178,0.888,0.055856960175075764,0.82,0.024494897427831758,0.9359999999999999,0.016733200530681475,2.408,0.15270887335056874,0.018666666666666668,0.008366600265340756,0.892,0.03548082424196044,0.84,0.007071067811865455,0.9380000000000001,0.006497862896539303,2.456,0.13214890591046657,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
ragroute_online,gaming,1,No Defense,50,0.7,7,301,350,5,0.008,0.010954451150103323,0.868,0.030331501776206228,0.776,0.008944271909999166,0.888,0.017888543819998333,2.62,0.150332963783729,0.017142857142857144,0.006700593942604899,0.8885714285714286,0.03458205267688633,0.8308571428571428,0.0061941381110510625,0.9308571428571428,0.005111012519999525,2.4794285714285715,0.1338656042454521,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
ragroute_online,gaming,1,No Defense,50,0.7,8,351,400,5,0.0,0.0,0.832,0.07014271166700073,0.78,0.0,0.92,0.0,2.824,0.2141961717678446,0.015000000000000001,0.005863019699779287,0.8815,0.0376911793394688,0.8245,0.005419870847169728,0.9295,0.004472135954999574,2.5225,0.14286138386561995,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
ragroute_online,gaming,1,No Defense,50,0.7,9,401,450,5,0.012,0.01788854381999832,0.9159999999999999,0.043358966777357594,0.892,0.010954451150103333,0.968,0.010954451150103333,2.372,0.13084341787036913,0.014666666666666666,0.00557773351022717,0.8853333333333333,0.03812260921465546,0.832,0.004331908597692864,0.9337777777777778,0.005067446333773945,2.505777777777778,0.1406563099575138,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
